信号类型,信号级别,影响区域,开始时间,结束时间,持续时间(小时),月份,季节
雷雨大风,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-06-13 08:48:00,2025-06-13 12:00:00,3.2,6,夏季
暴雨,黄色,"盐田区,坪山区,大鹏新区,大鹏湾,大亚湾",2025-06-14 01:02:00,2025-06-14 09:05:00,8.05,6,夏季
暴雨,黄色,"南山区,福田区,宝安区,光明区,龙华区,珠江口,深圳湾",2025-06-14 11:45:00,2025-06-14 16:45:00,5.0,6,夏季
暴雨,黄色,"松岗,沙井,新桥,燕罗,光明区",2025-06-16 17:22:00,2025-06-16 19:13:00,1.85,6,夏季
暴雨,橙色,"松岗,石岩,福永,沙井,航城,福海,新桥,燕罗,光明区",2025-06-16 19:13:00,2025-06-16 22:00:00,2.783333333333333,6,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-06-16 20:05:00,2025-06-16 22:00:00,1.9166666666666667,6,夏季
暴雨,黄色,"罗湖区,南山区,福田区,西乡,新安,龙华区,龙岗区",2025-06-16 20:05:00,2025-06-16 22:00:00,1.9166666666666667,6,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-06-17 02:25:00,2025-06-17 23:10:00,20.75,6,夏季
暴雨,黄色,"西丽,宝安区,光明区,龙华区,珠江口",2025-06-17 14:27:00,2025-06-17 19:03:00,4.6,6,夏季
雷雨大风,黄色,"西丽,宝安区,光明区,龙华区,珠江口",2025-06-17 14:27:00,2025-06-17 19:03:00,4.6,6,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-06-20 12:30:00,2025-06-20 17:35:00,5.083333333333333,6,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-06-22 11:55:00,2025-06-22 16:17:00,4.366666666666666,6,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-06-26 07:20:00,2025-06-26 21:40:00,14.333333333333334,6,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-06-27 02:32:00,2025-06-27 10:05:00,7.55,6,夏季
暴雨,黄色,"罗湖区,福田区,龙华区,横岗,布吉,坂田,南湾,平湖,吉华",2025-06-27 12:02:00,2025-06-27 13:30:00,1.4666666666666666,6,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-06-28 00:10:00,2025-06-28 08:35:00,8.416666666666666,6,夏季
暴雨,黄色,"罗湖区,福田区,盐田区,龙华区,横岗,布吉,龙城,坂田,南湾,平湖,吉华,园山",2025-06-28 00:35:00,2025-06-28 02:51:00,2.2666666666666666,6,夏季
雷电,-,"大鹏新区,大鹏湾,大亚湾",2025-06-28 18:22:00,2025-06-28 20:25:00,2.05,6,夏季
暴雨,黄色,"大鹏新区,大鹏湾,大亚湾",2025-06-28 19:06:00,2025-06-28 20:25:00,1.3166666666666667,6,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-06-29 08:30:00,2025-06-29 15:40:00,7.166666666666667,6,夏季
暴雨,黄色,"龙岗,坪地,龙城,宝龙,坪山区",2025-06-30 07:15:00,2025-06-30 08:07:00,0.8666666666666667,6,夏季
暴雨,黄色,"罗湖区,南山区,福田区,宝安区,光明区,龙华区,布吉,坂田,南湾,平湖,吉华",2025-07-01 00:15:00,2025-07-01 01:40:00,1.4166666666666667,7,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-01 09:27:00,2025-07-01 23:13:00,13.766666666666667,7,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-02 02:55:00,2025-07-02 05:53:00,2.966666666666667,7,夏季
雷电,-,"坪山区,大鹏新区,大鹏湾,大亚湾",2025-07-03 04:03:00,2025-07-03 05:20:00,1.2833333333333334,7,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-05 14:25:00,2025-07-05 18:55:00,4.5,7,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-08 10:55:00,2025-07-08 17:00:00,6.083333333333333,7,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-09 09:01:00,2025-07-09 14:36:00,5.583333333333333,7,夏季
暴雨,黄色,"坪山区,大鹏新区",2025-07-09 18:48:00,2025-07-09 19:42:00,0.9,7,夏季
暴雨,黄色,"罗湖区,南山区,福田区,宝安区,光明区,龙华区,龙岗区,珠江口,深圳湾",2025-07-09 21:20:00,2025-07-09 22:02:00,0.7,7,夏季
暴雨,黄色,"罗湖区,南山区,福田区,大浪,龙华,民治,布吉,坂田,南湾,吉华,珠江口,深圳湾",2025-07-10 08:15:00,2025-07-10 09:31:00,1.2666666666666666,7,夏季
雷雨大风,黄色,"罗湖区,南山区,福田区,大浪,龙华,民治,布吉,坂田,南湾,吉华,珠江口,深圳湾",2025-07-10 08:15:00,2025-07-10 09:31:00,1.2666666666666666,7,夏季
暴雨,橙色,"罗湖区,南山区,福田区,宝安区,光明区,龙华区,横岗,布吉,坂田,南湾,平湖,吉华",2025-07-10 14:00:00,2025-07-10 16:00:00,2.0,7,夏季
雷雨大风,黄色,"清水河,南山区,福田区,宝安区,光明区,龙华区,横岗,布吉,坂田,南湾,平湖,吉华,珠江口,深圳湾",2025-07-10 17:10:00,2025-07-10 19:13:00,2.05,7,夏季
暴雨,黄色,"清水河,南山区,福田区,宝安区,光明区,龙华区,横岗,布吉,坂田,南湾,平湖,吉华,珠江口,深圳湾",2025-07-10 17:10:00,2025-07-10 19:13:00,2.05,7,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-12 04:45:00,2025-07-12 19:15:00,14.5,7,夏季
雷电,-,"宝安区,光明区,珠江口",2025-07-17 16:40:00,2025-07-17 17:30:00,0.8333333333333334,7,夏季
雷雨大风,黄色,"大鹏新区,大鹏湾,大亚湾",2025-07-18 03:35:00,2025-07-18 05:15:00,1.6666666666666667,7,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-18 10:11:00,2025-07-18 17:00:00,6.816666666666666,7,夏季
雷雨大风,黄色,"罗湖区,南山区,福田区,宝安区,光明区,龙华区,龙岗区,珠江口,深圳湾",2025-07-18 10:27:00,2025-07-18 12:55:00,2.466666666666667,7,夏季
暴雨,黄色,"南山区,福田区,宝安区,光明区,龙华区",2025-07-18 10:40:00,2025-07-18 10:48:00,0.13333333333333333,7,夏季
暴雨,红色,"大浪,龙华,民治",2025-07-18 11:03:00,2025-07-18 12:55:00,1.8666666666666667,7,夏季
雷雨大风,黄色,"盐田区,坪山区,大鹏新区,大鹏湾,大亚湾",2025-07-18 11:40:00,2025-07-18 14:20:00,2.6666666666666665,7,夏季
台风,蓝色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-19 09:00:00,2025-07-19 18:00:00,9.0,7,夏季
暴雨,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-20 06:36:00,2025-07-20 12:01:00,5.416666666666667,7,夏季
台风,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-20 16:00:00,2025-07-20 17:30:00,1.5,7,夏季
暴雨,红色,"南山区,福田区,石岩,福永,西乡,新安,航城,福海,珠江口,深圳湾",2025-07-20 16:05:00,2025-07-20 17:12:00,1.1166666666666667,7,夏季
台风,蓝色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-20 17:30:00,2025-07-20 22:20:00,4.833333333333333,7,夏季
暴雨,黄色,"盐田,梅沙,龙岗,坪地,宝龙,坪山,马峦,碧岭,大鹏湾",2025-07-22 09:46:00,2025-07-22 16:00:00,6.233333333333333,7,夏季
暴雨,黄色,"盐田区,横岗,龙岗,坪地,龙城,园山,宝龙,坪山区,大鹏新区,大鹏湾,大亚湾",2025-07-23 04:35:00,2025-07-23 06:13:00,1.6333333333333333,7,夏季
雷电,-,"罗湖区,盐田区,龙岗区,坪山区,大鹏新区,大鹏湾,大亚湾",2025-07-24 17:00:00,2025-07-24 18:40:00,1.6666666666666667,7,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-25 14:53:00,2025-07-25 21:15:00,6.366666666666666,7,夏季
暴雨,橙色,"盐田区,园山,宝龙,坪山,马峦,碧岭",2025-07-25 19:00:00,2025-07-25 20:15:00,1.25,7,夏季
雷雨大风,黄色,"珠江口,深圳湾",2025-07-25 20:15:00,2025-07-25 21:15:00,1.0,7,夏季
暴雨,黄色,"罗湖区,南山区,福田区,宝安区,光明区,龙华区,横岗,布吉,坂田,南湾,平湖,吉华,珠江口,深圳湾",2025-07-28 14:00:00,2025-07-28 16:28:00,2.466666666666667,7,夏季
雷雨大风,黄色,"罗湖区,南山区,福田区,宝安区,光明区,龙华区,横岗,布吉,坂田,南湾,平湖,吉华,珠江口,深圳湾",2025-07-28 14:00:00,2025-07-28 16:28:00,2.466666666666667,7,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-28 14:23:00,2025-07-28 23:38:00,9.25,7,夏季
暴雨,橙色,"石岩,玉塘",2025-07-28 19:52:00,2025-07-28 21:32:00,1.6666666666666667,7,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-29 07:23:00,2025-07-29 18:35:00,11.2,7,夏季
雷雨大风,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-29 11:50:00,2025-07-29 17:00:00,5.166666666666667,7,夏季
暴雨,橙色,"盐田区,园山",2025-07-29 12:40:00,2025-07-29 14:50:00,2.1666666666666665,7,夏季
暴雨,橙色,光明区,2025-07-29 14:50:00,2025-07-29 17:00:00,2.1666666666666665,7,夏季
雷雨大风,黄色,"南山区,福永,西乡,新安,航城,福海,珠江口,深圳湾",2025-07-30 17:55:00,2025-07-30 19:10:00,1.25,7,夏季
雷电,-,"南山区,福田区,西乡,新安,航城,珠江口,深圳湾",2025-07-30 18:20:00,2025-07-30 19:10:00,0.8333333333333334,7,夏季
暴雨,黄色,"南山区,福田区,西乡,新安,航城,珠江口,深圳湾",2025-07-30 18:20:00,2025-07-30 19:10:00,0.8333333333333334,7,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-07-31 01:24:00,2025-07-31 06:30:00,5.1,7,夏季
暴雨,黄色,"南山区,石岩,福永,西乡,新安,航城,珠江口,深圳湾",2025-08-01 13:18:00,2025-08-01 15:55:00,2.6166666666666667,8,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-08-01 13:18:00,2025-08-01 19:30:00,6.2,8,夏季
暴雨,黄色,"宝安区,光明区,珠江口",2025-08-02 13:58:00,2025-08-02 15:00:00,1.0333333333333334,8,夏季
雷雨大风,黄色,"南山区,宝安区,珠江口,深圳湾",2025-08-02 19:49:00,2025-08-02 23:05:00,3.2666666666666666,8,夏季
暴雨,橙色,"南头,南山,西丽,蛇口,招商,粤海,石岩,西乡,新安,珠江口,深圳湾",2025-08-02 21:35:00,2025-08-02 23:05:00,1.5,8,夏季
暴雨,红色,"南澳,大鹏湾,大亚湾",2025-08-03 06:49:00,2025-08-03 08:35:00,1.7666666666666666,8,夏季
暴雨,黄色,"南山区,盐田区,石岩,西乡,新安,航城,龙华区,布吉,坂田,南湾,平湖,吉华,大鹏新区,珠江口,深圳湾,大鹏湾,大亚湾",2025-08-03 12:02:00,2025-08-03 14:05:00,2.05,8,夏季
雷雨大风,黄色,"松岗,沙井,福海,新桥,燕罗,光明区",2025-08-03 18:00:00,2025-08-03 19:30:00,1.5,8,夏季
暴雨,黄色,"松岗,沙井,福海,新桥,燕罗,光明区",2025-08-03 18:00:00,2025-08-03 19:30:00,1.5,8,夏季
雷雨大风,黄色,"大鹏新区,大鹏湾,大亚湾",2025-08-04 00:20:00,2025-08-04 01:45:00,1.4166666666666667,8,夏季
暴雨,黄色,"大鹏新区,大鹏湾,大亚湾",2025-08-04 00:20:00,2025-08-04 01:45:00,1.4166666666666667,8,夏季
暴雨,黄色,"南澳,大鹏,大鹏湾,大亚湾",2025-08-04 03:20:00,2025-08-04 03:50:00,0.5,8,夏季
暴雨,橙色,"南澳,大鹏,大鹏湾,大亚湾",2025-08-04 03:50:00,2025-08-04 06:30:00,2.6666666666666665,8,夏季
雷雨大风,黄色,"盐田区,龙岗区,坪山区,葵涌",2025-08-04 04:00:00,2025-08-04 06:05:00,2.0833333333333335,8,夏季
暴雨,黄色,"盐田区,龙岗区,坪山区,葵涌",2025-08-04 04:00:00,2025-08-04 06:05:00,2.0833333333333335,8,夏季
暴雨,黄色,南澳,2025-08-04 07:35:00,2025-08-04 23:25:00,15.833333333333334,8,夏季
暴雨,橙色,"横岗,龙城,园山,宝龙,坑梓,坪山,碧岭,龙田",2025-08-05 00:13:00,2025-08-05 00:55:00,0.7,8,夏季
雷雨大风,黄色,"罗湖区,南山区,福田区,盐田区,宝安区,光明区,龙华区,龙岗区,坪山区,珠江口,深圳湾",2025-08-05 02:55:00,2025-08-05 12:00:00,9.083333333333334,8,夏季
暴雨,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-08-05 07:30:00,2025-08-05 09:40:00,2.1666666666666665,8,夏季
雷雨大风,黄色,"南山区,宝安区,光明区,珠江口,深圳湾",2025-08-06 10:00:00,2025-08-06 10:32:00,0.5333333333333333,8,夏季
雷雨大风,橙色,"南山区,宝安区,光明区,珠江口,深圳湾",2025-08-06 10:32:00,2025-08-06 14:00:00,3.466666666666667,8,夏季
雷电,-,"南山区,宝安区,光明区,珠江口,深圳湾",2025-08-12 05:10:00,2025-08-12 15:56:00,10.766666666666667,8,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-08-14 04:50:00,2025-08-14 16:45:00,11.916666666666666,8,夏季
暴雨,红色,"坪地,坑梓,龙田",2025-08-14 10:15:00,2025-08-14 12:50:00,2.5833333333333335,8,夏季
暴雨,红色,"燕罗,公明",2025-08-14 12:15:00,2025-08-14 14:10:00,1.9166666666666667,8,夏季
暴雨,橙色,"南山区,宝安区,光明区",2025-08-15 00:12:00,2025-08-15 01:00:00,0.8,8,夏季
雷电,-,"坪山区,大鹏新区,大鹏湾,大亚湾",2025-08-17 06:40:00,2025-08-17 07:50:00,1.1666666666666667,8,夏季
暴雨,橙色,"南头,南山,蛇口,招商,粤海,西乡,新安",2025-08-18 02:25:00,2025-08-18 04:25:00,2.0,8,夏季
暴雨,橙色,"罗湖区,西丽,桃源,福田区,松岗,石岩,燕罗,公明,玉塘,马田,凤凰,大浪,龙华,民治",2025-08-18 04:41:00,2025-08-18 06:25:00,1.7333333333333334,8,夏季
暴雨,黄色,"盐田区,横岗,龙城,园山",2025-08-18 21:40:00,2025-08-18 21:55:00,0.25,8,夏季
暴雨,橙色,"盐田区,横岗,龙城,园山",2025-08-18 21:55:00,2025-08-18 23:20:00,1.4166666666666667,8,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-08-19 03:45:00,2025-08-19 15:15:00,11.5,8,夏季
暴雨,橙色,"盐田,横岗,龙岗,坪地,龙城,园山,宝龙,碧岭",2025-08-19 09:15:00,2025-08-19 14:20:00,5.083333333333333,8,夏季
雷雨大风,黄色,"罗湖区,盐田区,龙岗区,坪山区,大鹏新区,大鹏湾,大亚湾",2025-08-19 10:00:00,2025-08-19 14:20:00,4.333333333333333,8,夏季
雷电,-,"南山区,宝安区,光明区,珠江口,深圳湾",2025-08-26 16:20:00,2025-08-26 18:41:00,2.35,8,夏季
雷雨大风,黄色,"松岗,福永,沙井,航城,福海,新桥,燕罗,玉塘",2025-08-26 16:30:00,2025-08-26 18:41:00,2.183333333333333,8,夏季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-08-27 12:53:00,2025-08-27 17:00:00,4.116666666666666,8,夏季
雷雨大风,黄色,"南山区,石岩,西乡,新安,航城,光明,玉塘,新湖,凤凰,龙岗,龙城,园山,宝龙,珠江口,深圳湾",2025-08-27 13:43:00,2025-08-27 15:10:00,1.45,8,夏季
雷雨大风,黄色,"罗湖区,南山区,福田区,盐田区,大鹏新区,珠江口,深圳湾,大鹏湾,大亚湾",2025-08-30 13:15:00,2025-08-30 14:45:00,1.5,8,夏季
雷电,-,"南山区,福田区,宝安区,珠江口,深圳湾",2025-09-02 13:21:00,2025-09-02 15:36:00,2.25,9,秋季
雷电,-,"南山区,福田区,宝安区,光明区,龙华区,珠江口,深圳湾",2025-09-03 14:22:00,2025-09-03 19:28:00,5.1,9,秋季
雷电,-,"罗湖区,南山区,福田区,宝安区,光明区,龙华区,横岗,布吉,坂田,南湾,平湖,吉华,珠江口,深圳湾",2025-09-04 15:30:00,2025-09-04 18:05:00,2.5833333333333335,9,秋季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-09-07 12:10:00,2025-09-07 19:00:00,6.833333333333333,9,秋季
暴雨,黄色,"盐田区,横岗,龙岗,坪地,龙城,园山,宝龙,坪山区,大鹏新区,大鹏湾,大亚湾",2025-09-07 15:45:00,2025-09-07 19:00:00,3.25,9,秋季
暴雨,橙色,"龙岗,坪地,宝龙,坪山区,葵涌",2025-09-08 00:40:00,2025-09-08 05:15:00,4.583333333333333,9,秋季
雷雨大风,黄色,"南头,南山,蛇口,招商,福永,西乡,沙井,新安,航城,福海,珠江口,深圳湾",2025-09-09 03:25:00,2025-09-09 05:18:00,1.8833333333333333,9,秋季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-09-09 09:28:00,2025-09-09 18:00:00,8.533333333333333,9,秋季
雷雨大风,黄色,"盐田区,坪地,园山,宝龙,坪山区,大鹏新区,大鹏湾,大亚湾",2025-09-09 09:51:00,2025-09-09 12:07:00,2.2666666666666666,9,秋季
雷雨大风,黄色,"大鹏新区,大鹏湾,大亚湾",2025-09-17 05:06:00,2025-09-17 06:06:00,1.0,9,秋季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-09-17 12:58:00,2025-09-17 17:30:00,4.533333333333333,9,秋季
雷雨大风,黄色,"松岗,沙井,新桥,燕罗,光明区,观湖,福城,观澜,龙岗,坪地,龙城,平湖,宝龙,坑梓,龙田",2025-09-17 16:00:00,2025-09-17 17:30:00,1.5,9,秋季
暴雨,黄色,"松岗,燕罗,公明,马田,新湖",2025-09-17 16:15:00,2025-09-17 17:30:00,1.25,9,秋季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-09-18 13:10:00,2025-09-18 23:52:00,10.7,9,秋季
雷雨大风,黄色,"南山区,盐田区,宝安区,光明区,龙华区,坪山区,大鹏新区,大鹏湾,大亚湾",2025-09-18 14:40:00,2025-09-18 17:30:00,2.8333333333333335,9,秋季
暴雨,橙色,"南头,南山,西乡,新安",2025-09-18 15:17:00,2025-09-18 17:30:00,2.216666666666667,9,秋季
暴雨,橙色,"坑梓,坪山,马峦,石井,龙田,葵涌",2025-09-19 17:48:00,2025-09-19 19:30:00,1.7,9,秋季
雷电,-,"宝安区,光明区,龙华区",2025-09-20 14:30:00,2025-09-20 16:36:00,2.1,9,秋季
暴雨,橙色,盐田区,2025-09-21 02:26:00,2025-09-21 04:14:00,1.8,9,秋季
暴雨,黄色,"南山区,福田区,宝安区,光明区,龙华区,珠江口,深圳湾",2025-09-21 05:55:00,2025-09-21 10:30:00,4.583333333333333,9,秋季
台风,蓝色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-09-22 14:00:00,2025-09-22 21:00:00,7.0,9,秋季
台风,橙色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-09-23 10:00:00,2025-09-23 18:00:00,8.0,9,秋季
台风,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-09-24 15:00:00,2025-09-24 17:40:00,2.6666666666666665,9,秋季
暴雨,红色,"罗湖区,盐田区,横岗,布吉,龙城,南湾,平湖,吉华,园山",2025-09-24 15:50:00,2025-09-24 19:40:00,3.8333333333333335,9,秋季
台风,蓝色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-09-24 17:40:00,2025-09-24 22:00:00,4.333333333333333,9,秋季
暴雨,黄色,"坪地,宝龙,坪山区,大鹏新区,大鹏湾,大亚湾",2025-09-25 10:40:00,2025-09-25 11:20:00,0.6666666666666666,9,秋季
暴雨,橙色,"龙岗,坪地,宝龙,坪山区,大鹏新区,大鹏湾,大亚湾",2025-09-25 11:20:00,2025-09-25 12:40:00,1.3333333333333333,9,秋季
暴雨,黄色,"罗湖区,沙头角,龙华区,横岗,布吉,坂田,南湾,平湖,吉华",2025-09-25 13:30:00,2025-09-25 14:45:00,1.25,9,秋季
雷电,-,"松岗,石岩,福永,沙井,航城,福海,新桥,燕罗,光明区,龙华区,龙岗区",2025-09-28 12:57:00,2025-09-28 15:20:00,2.3833333333333333,9,秋季
雷雨大风,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-10-04 15:05:00,2025-10-04 18:10:00,3.0833333333333335,10,秋季
雷雨大风,橙色,"南山区,福田区,福永,西乡,沙井,新安,航城,福海,珠江口,深圳湾",2025-10-05 02:08:00,2025-10-05 05:20:00,3.2,10,秋季
雷电,-,"宝安区,光明区,珠江口",2025-10-12 11:48:00,2025-10-12 17:31:00,5.716666666666667,10,秋季
雷电,-,"南山区,宝安区,珠江口,深圳湾",2025-10-13 10:11:00,2025-10-13 11:45:00,1.5666666666666667,10,秋季
雷电,-,"宝安区,光明区",2025-10-13 13:44:00,2025-10-13 15:20:00,1.6,10,秋季
雷电,-,"罗湖区,南山区,福田区,盐田区,宝安区,光明区,龙华区,横岗,布吉,坂田,南湾,平湖,吉华,园山,珠江口,深圳湾",2025-10-14 04:07:00,2025-10-14 06:06:00,1.9833333333333334,10,秋季
强季风,蓝色,"罗湖区,盐田区,大鹏新区,珠江口,深圳湾,大鹏湾,大亚湾",2025-11-25 06:00:00,2025-11-25 14:41:00,8.683333333333334,11,秋季
强季风,蓝色,"盐田区,大鹏新区,大鹏湾,大亚湾",2025-11-27 08:30:00,2025-11-27 22:30:00,14.0,11,秋季
强季风,蓝色,"盐田区,大鹏新区,珠江口,深圳湾,大鹏湾,大亚湾",2025-12-25 07:50:00,2025-12-25 20:00:00,12.166666666666666,12,冬季
