信号级别,AUTOSENTCOUNT,发布内容,入库时间,自动检测消息发布状态,信号编号,同步编号,信号发布签发人,记录编号,发布时间,"发布状态(发布/取消)",AUTOSENTFLAG,信号影响区域,信号类型,记录序号,自动检测循环次数
黄色,0,"全市陆地,森林火险,橙色,2025-11-21 11:00:00;.【深圳市森林火险黄色预警信号升级为橙色】深圳市森林防灭火指挥部和深圳市气象台2025年11月21日11时00分将全市陆地森林火险黄色预警信号升级为橙色，预计我市天气将持续干燥，森林火险气象等级为四级，林内可燃物容易燃烧，森林火灾容易发生，火势蔓延速度快，有关主管部门加大巡山护林力度，严格管制野外火源。","	2025-11-21 11:02:31",0,134,AAA30mAAcAACpE8AAK,-,105319,"	2025-11-21 11:00:00",取消,0,全市陆地,森林火险,109913,0
黄色,0,"全市陆地,森林火险,黄色,2025-10-16 10:10:00;.【深圳市解除寒冷黄色预警信号】气温回升，深圳市气象台于2025年11月20日12时解除全市陆地寒冷黄色预警信号。","	2025-11-20 11:58:25",0,135,AAA30mAAcAACpE8AAI,-,105317,"	2025-11-20 12:00:00",取消,0,全市陆地,寒冷,109911,0
蓝色,0,"全市陆地,寒冷,黄色,2025-11-17 22:00:00;全市陆地,森林火险,黄色,2025-10-16 10:10:00;.【深圳市解除强季风蓝色预警信号】风力明显减弱，深圳市气象台2025年11月19日15时00分解除全市强季风蓝色预警信号。","	2025-11-19 15:00:33",0,136,AAA30mABCAACLdcAAJ,-,105316,"	2025-11-19 15:00:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,强季风,109910,0
黄色,0,"【深圳市寒冷黄色预警信号、强季风蓝色预警信号】深圳市气象台2025年11月17日22时发布全市陆地寒冷黄色预警信号和全市强季风蓝色预警信号。预计受强冷空气影响，18日凌晨起有大风降温天气，并伴有零星小雨，过程最低气温降至12℃左右，最大阵风沿海和海区8-9级、高地10级，体感转阴冷，信号可能持续2天左右。请注意防寒保暖、做好防风措施。","	2025-11-17 22:00:06",0,135,AAA30mABCAACLdcAAI,-,105315,"	2025-11-17 22:00:00",发布,0,全市陆地,寒冷,109909,0
蓝色,0,"【深圳市寒冷黄色预警信号、强季风蓝色预警信号】深圳市气象台2025年11月17日22时发布全市陆地寒冷黄色预警信号和全市强季风蓝色预警信号。预计受强冷空气影响，18日凌晨起有大风降温天气，并伴有零星小雨，过程最低气温降至12℃左右，最大阵风沿海和海区8-9级、高地10级，体感转阴冷，信号可能持续2天左右。请注意防寒保暖、做好防风措施。","	2025-11-17 22:00:06",0,136,AAA30mABCAACLdcAAH,-,105314,"	2025-11-17 22:00:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,强季风,109908,0
白色,0,"全市陆地,森林火险,黄色,2025-10-16 10:10:00;.【深圳市解除台风白色预警信号】台风“凤凰”强度减弱，并将逐渐远离我市，我市风力减弱，深圳市气象台2025年11月12日08时00分解除全市台风白色预警信号。","	2025-11-12 08:00:24",0,135,AAA30mABCAACLd/AAV,-,105313,"	2025-11-12 08:00:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109907,0
白色,0,"【深圳市台风白色预警信号】第26号台风“凤凰”已进入南海，11日夜间逐渐转向北偏东方向移动，台风中心距离深圳最近450公里左右。受台风和冷空气共同影响，我市风力有所加大，11-12日阴天有雨，深圳市气象台2025年11月10日11时00分发布全市台风白色预警信号，请注意做好防御。","	2025-11-10 11:00:28",0,135,AAA30mABCAACLd/AAU,-,105312,"	2025-11-10 11:00:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109906,0
蓝色,0,"全市陆地,森林火险,黄色,2025-10-16 10:10:00;.【深圳市解除强季风蓝色预警信号】风力逐渐减弱，深圳市气象台2025年10月22日11时00分解除全市强季风蓝色预警信号。","	2025-10-22 10:59:31",0,137,AAA30mABCAACLd/AAT,-,105311,"	2025-10-22 11:00:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,强季风,109905,0
蓝色,0,"全市陆地,森林火险,黄色,2025-10-16 10:10:00;全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,强季风,蓝色,2025-10-21 12:00:00;.【深圳市解除台风蓝色预警信号、发布强季风蓝色预警信号】台风“风神”逐渐远离，转为冷空气影响为主，我市沿海、海区和高地最大阵风维持8-9级。深圳市气象台2025年10月21日12时00分解除全市台风蓝色预警信号，发布全市强季风蓝色预警信号，信号可能持续到明天凌晨至上午。请落实各项防风措施。","	2025-10-21 11:59:43",0,136,AAA30mAAcAACpE8AAH,-,105310,"	2025-10-21 12:00:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109904,0
蓝色,0,"【深圳市解除台风蓝色预警信号、发布强季风蓝色预警信号】台风“风神”逐渐远离，转为冷空气影响为主，我市沿海、海区和高地最大阵风维持8-9级。深圳市气象台2025年10月21日12时00分解除全市台风蓝色预警信号，发布全市强季风蓝色预警信号，信号可能持续到明天凌晨至上午。请落实各项防风措施。","	2025-10-21 11:59:43",0,137,AAA30mAAcAACpE8AAG,-,105309,"	2025-10-21 12:00:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,强季风,109903,0
蓝色,0,"【深圳市台风白色预警信号升级为蓝色】台风“风神”（强热带风暴级）20日夜间将在距离深圳最近约450公里海面掠过，受其和冷空气共同影响，今晚到22日我市有大风降温降雨天气，过程最大阵风沿海、海区8-9级，高地部分站点10级。深圳市气象台2025年10月20日22时00分将全市台风白色预警信号升级为蓝色。","	2025-10-20 22:00:21",0,136,AAA30mAAcAACpE8AAE,-,105307,"	2025-10-20 22:00:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109901,0
白色,0,"全市陆地,森林火险,黄色,2025-10-16 10:10:00;全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,蓝色,2025-10-20 22:00:00;.【深圳市台风白色预警信号升级为蓝色】台风“风神”（强热带风暴级）20日夜间将在距离深圳最近约450公里海面掠过，受其和冷空气共同影响，今晚到22日我市有大风降温降雨天气，过程最大阵风沿海、海区8-9级，高地部分站点10级。深圳市气象台2025年10月20日22时00分将全市台风白色预警信号升级为蓝色。","	2025-10-20 22:00:21",0,135,AAA30mAAcAACpE8AAF,-,105308,"	2025-10-20 22:00:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109902,0
白色,0,"【深圳市台风白色预警信号】台风“风神”（热带风暴级）已经进入南海，未来将继续向西北方向移动，20日夜间-22日将和冷空气共同作用给我市带来大风降温降雨天气。深圳市气象台2025年10月19日23时00分发布全市台风白色预警信号。","	2025-10-19 23:03:21",0,135,AAA30mABCAACLd3AAK,-,105306,"	2025-10-19 23:00:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109900,0
黄色,0,"全市陆地,森林火险,黄色,2025-10-16 10:10:00;.【深圳市解除高温黄色预警信号】高温天气缓解，深圳市气象台2025年10月19日18时00分解除全市陆地高温黄色预警信号。","	2025-10-19 17:59:38",0,135,AAA30mABCAACLd0AAT,-,105305,"	2025-10-19 18:00:00",取消,0,全市陆地,高温,109899,0
黄色,0,"【深圳市高温黄色预警信号】深圳市气象台2025年10月18日08时30分发布全市陆地高温黄色预警信号，预计18日我市大部分地区最高气温将升至35℃或以上，信号可能持续1天。注意防暑降温，避免长时间户外活动。","	2025-10-18 08:31:43",0,135,AAA30mAAcAACpE8AAD,-,105304,"	2025-10-18 08:30:00",发布,0,全市陆地,高温,109898,0
黄色,0,"【深圳市森林火险黄色预警信号】深圳市森林防灭火指挥部和深圳市气象台2025年10月16日10时10分联合发布全市陆地森林火险黄色预警信号，预计我市天气将持续干燥，森林火险气象等级为三级，林内可燃物较易燃烧，森林火灾较易发生。有关主管部门加大巡山护林力度，严格管制野外火源。","	2025-10-16 10:10:28",0,134,AAA30mABCAACLd/AAS,-,105303,"	2025-10-16 10:10:00",发布,0,全市陆地,森林火险,109897,0
-,0,"【深圳市解除分区雷电预警信号】雷暴云团已减弱，深圳市气象台2025年10月14日06时06分解除罗湖区、南山区、福田区、盐田区、宝安区、光明区、龙华区、珠江口、深圳湾和龙岗区（平湖、南湾、坂田、布吉、横岗、吉华、园山街道）雷电预警信号。","	2025-10-14 06:07:24",0,132,AAA30mABCAACLd0AAS,-,105302,"	2025-10-14 06:06:00",取消,0,"罗湖区、南山区、福田区、盐田区、宝安区、光明区、龙华区、横岗、布吉、坂田、南湾、平湖、吉华、园山、珠江口、深圳湾",雷电,109896,0
-,0,"【深圳市分区雷电预警信号】深圳市气象台于2025年10月14日04时07分发布罗湖区、南山区、福田区、盐田区、宝安区、光明区、龙华区、珠江口、深圳湾和龙岗区（横岗、布吉、坂田、南湾、平湖、吉华、园山街道）雷电预警信号，预计2小时内上述区域将受雷电影响。市民停留在安全地方。","	2025-10-14 04:08:25",0,132,AAA30mABCAACLd0AAR,-,105301,"	2025-10-14 04:07:00",发布,0,"罗湖区、南山区、福田区、盐田区、宝安区、光明区、龙华区、横岗、布吉、坂田、南湾、平湖、吉华、园山、珠江口、深圳湾",雷电,109895,0
-,0,"【深圳市解除分区雷电预警信号】雷暴云团已减弱，深圳市气象台2025年10月13日15时20分解除宝安区和光明区雷电预警信号。","	2025-10-13 15:20:10",0,130,AAA30mABCAACLd0AAQ,-,105300,"	2025-10-13 15:20:00",取消,0,宝安区、光明区,雷电,109894,0
-,0,"【深圳市分区雷电预警信号】深圳市气象台于2025年10月13日13时44分发布宝安区和光明区雷电预警信号，预计2小时内上述区域将受雷电影响。市民停留在安全地方。","	2025-10-13 13:45:32",0,130,AAA30mABCAACLd0AAP,-,105299,"	2025-10-13 13:44:00",发布,0,宝安区、光明区,雷电,109893,0
-,0,"【深圳市解除分区雷电预警信号】雷暴云团已减弱，深圳市气象台2025年10月13日11时45分解除南山区、宝安区、珠江口和深圳湾雷电预警信号。","	2025-10-13 11:45:15",0,128,"AAA30mAAcAACpE+AAF",-,105298,"	2025-10-13 11:45:00",取消,0,南山区、宝安区、珠江口、深圳湾,雷电,109892,0
-,0,"【深圳市分区雷电预警信号】深圳市气象台于2025年10月13日10时11分发布南山区、宝安区、珠江口和深圳湾雷电预警信号，预计2小时内上述区域将受雷电影响。市民停留在安全地方。","	2025-10-13 10:12:25",0,128,AAA30mABCAACLd/AAR,-,105297,"	2025-10-13 10:11:00",发布,0,南山区、宝安区、珠江口、深圳湾,雷电,109891,0
-,0,"【深圳市解除分区雷电预警信号】雷暴云团已减弱，深圳市气象台2025年10月12日17时31分解除宝安区、光明区和珠江口雷电预警信号。","	2025-10-12 17:32:08",0,126,AAA30mABCAACLd/AAQ,-,105296,"	2025-10-12 17:31:00",取消,0,宝安区、光明区、珠江口,雷电,109890,0
-,0,"【深圳市分区雷电预警信号】深圳市气象台于2025年10月12日11时48分发布宝安区、光明区和珠江口雷电预警信号，预计2小时内上述区域将受雷电影响。市民停留在安全地方。","	2025-10-12 11:49:28",0,126,AAA30mABCAACLd/AAP,-,105295,"	2025-10-12 11:48:00",发布,0,宝安区、光明区、珠江口,雷电,109889,0
黄色,0,"【深圳市解除高温黄色和森林火险黄色预警信号】受降雨天气影响，我市高温和干燥天气缓解，深圳市气象台2025年10月12日09时00分解除全市陆地高温黄色和森林火险黄色预警信号。","	2025-10-12 09:00:08",0,125,AAA30mABCAACLd/AAO,-,105294,"	2025-10-12 09:00:00",取消,0,全市陆地,森林火险,109888,0
黄色,0,"【深圳市解除高温黄色和森林火险黄色预警信号】受降雨天气影响，我市高温和干燥天气缓解，深圳市气象台2025年10月12日09时00分解除全市陆地高温黄色和森林火险黄色预警信号。","	2025-10-12 09:00:08",0,124,AAA30mABCAACLd/AAN,-,105293,"	2025-10-12 09:00:00",取消,0,全市陆地,高温,109887,0
黄色,0,"【深圳市高温黄色预警信号、森林火险黄色预警信号】深圳市气象台2025年10月07日10时00分发布全市高温黄色预警信号，同时联合深圳市森林防灭火指挥部发布全市陆地森林火险黄色预警信号，预计未来4-5天我市炎热干燥，中北部及人口密集区域最高气温将升至35℃以上。注意防暑降温，避免长时间户外活动。森林火险气象等级为三级，林内可燃物较易燃烧，森林火灾较易发生。有关主管部门加大巡山护林力度，严格管制野外火源。","	2025-10-07 10:07:26",0,124,AAA30mABCAACLd0AAO,-,105292,"	2025-10-07 10:00:00",发布,0,全市陆地,高温,109886,0
黄色,0,"【深圳市高温黄色预警信号、森林火险黄色预警信号】深圳市气象台2025年10月07日10时00分发布全市高温黄色预警信号，同时联合深圳市森林防灭火指挥部发布全市陆地森林火险黄色预警信号，预计未来4-5天我市炎热干燥，中北部及人口密集区域最高气温将升至35℃以上。注意防暑降温，避免长时间户外活动。森林火险气象等级为三级，林内可燃物较易燃烧，森林火灾较易发生。有关主管部门加大巡山护林力度，严格管制野外火源。","	2025-10-07 10:07:26",0,125,AAA30mABCAACLd0AAN,-,105291,"	2025-10-07 10:00:00",发布,0,全市陆地,森林火险,109885,0
蓝色,0,"【深圳市解除台风蓝色预警信号】今年第21号台风“麦德姆”已于5日14时50分前后在湛江市徐闻县东部沿海登陆，将继续向西北方向移动，远离我市，对我市风雨影响已减弱，深圳市气象台2025年10月05日16时00分解除全市台风蓝色预警信号。今天下午到夜间我市最大阵风仍有5-7级，极个别高地8级，请继续做好防御。","	2025-10-05 15:59:13",0,112,AAA30mAAcAACpE8AAC,-,105290,"	2025-10-05 16:00:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109884,0
橙色,0,"全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,蓝色,2025-10-04 12:00:00;.【深圳市解除分区雷雨大风橙色预警信号】台风螺旋云带已移出，深圳市气象台2025年10月05日05时20分解除南山区、福田区、珠江口、深圳湾和宝安区（新安、西乡、福永、沙井、航城、福海街道）雷雨大风橙色预警信号，全市台风蓝色预警信号继续生效。","	2025-10-05 05:20:46",0,113,AAA30mAAcAACpE8AAB,-,105289,"	2025-10-05 05:20:00",取消,0,"南山区、福田区、福永、西乡、沙井、新安、航城、福海、珠江口、深圳湾",雷雨大风,109883,0
橙色,0,"【深圳市分区雷雨大风橙色预警信号】受台风“麦德姆”外围螺旋云带影响，预计未来2-3小时西部海区和陆地将出现强雷雨天气，并伴有短时强降水和10级左右短时大风，深圳市气象台2025年10月05日02时08分在南山区、福田区、珠江口、深圳湾和宝安区（福永、西乡、沙井、新安、航城、福海街道）发布雷雨大风橙色预警信号，请迅速落实各项防风防雷电措施；立即停止户外活动和作业。","	2025-10-05 02:09:12",0,113,AAA30mAAcAACpE8AAA,-,105288,"	2025-10-05 02:08:00",发布,0,"南山区、福田区、福永、西乡、沙井、新安、航城、福海、珠江口、深圳湾",雷雨大风,109882,0
黄色,0,"全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,蓝色,2025-10-04 12:00:00;.【深圳市解除雷雨大风黄色预警信号】台风“麦德姆”外围雷雨减弱移出，深圳市气象台2025年10月04日18时10分解除全市雷雨大风黄色预警信号。","	2025-10-04 18:13:45",0,113,AAA30mAAcAACpE4AAP,-,105287,"	2025-10-04 18:10:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷雨大风,109881,0
黄色,0,"全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷雨大风,黄色,2025-10-04 15:05:00;全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,蓝色,2025-10-04 12:00:00;.【深圳市解除高温黄色预警信号、解除森林火险黄色预警信号】受“麦德姆”外围风雨影响，我市高温、干燥天气缓解，深圳市气象台2025年10月04日16时00分解除全市高温黄色预警信号和全市陆地森林火险黄色预警信号。","	2025-10-04 15:55:01",0,110,AAA30mAAcAACpE4AAO,-,105286,"	2025-10-04 16:00:00",取消,0,全市陆地,森林火险,109880,0
黄色,0,"全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷雨大风,黄色,2025-10-04 15:05:00;全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,蓝色,2025-10-04 12:00:00;.【深圳市解除高温黄色预警信号、解除森林火险黄色预警信号】受“麦德姆”外围风雨影响，我市高温、干燥天气缓解，深圳市气象台2025年10月04日16时00分解除全市高温黄色预警信号和全市陆地森林火险黄色预警信号。","	2025-10-04 15:55:01",0,109,AAA30mAAcAACpE4AAN,-,105285,"	2025-10-04 16:00:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,高温,109879,0
黄色,0,"【深圳市雷雨大风黄色预警信号】深圳市气象台2025年10月04日15时05分发布全市雷雨大风黄色预警信号，预计受台风“麦德姆”外围环流与本地生成回波共同影响，未来3小时我市渐转（雷）阵雨，傍晚前后雨势较大，雨时伴有分散雷电和8级左右短时大风。请落实各项防风防雷电措施。","	2025-10-04 15:07:06",0,113,AAA30mAAcAACpE4AAM,-,105284,"	2025-10-04 15:05:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷雨大风,109878,0
蓝色,0,"【深圳市台风白色预警信号升级为蓝色】深圳市气象台于2025年10月04日12时00分将全市台风白色预警信号升级为蓝色。预计今年第21号台风“麦德姆”将继续趋向粤西到海南岛，4日下午至5日早晨以台风级或强台风级从深圳南部海面掠过，距深圳最近距离约400公里左右。受其影响，我市（含深汕）4日夜间至5日阵雨频密，并伴有8-9级最大阵风。请注意做好防御。","	2025-10-04 11:58:13",0,112,AAA30mAAcAACpE4AAK,-,105282,"	2025-10-04 12:00:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109876,0
白色,0,"全市陆地,森林火险,黄色,2025-10-01 15:30:00;全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,高温,黄色,2025-09-30 11:00:00;全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,蓝色,2025-10-04 12:00:00;.【深圳市台风白色预警信号升级为蓝色】深圳市气象台于2025年10月04日12时00分将全市台风白色预警信号升级为蓝色。预计今年第21号台风“麦德姆”将继续趋向粤西到海南岛，4日下午至5日早晨以台风级或强台风级从深圳南部海面掠过，距深圳最近距离约400公里左右。受其影响，我市（含深汕）4日夜间至5日阵雨频密，并伴有8-9级最大阵风。请注意做好防御。","	2025-10-04 11:58:13",0,111,AAA30mAAcAACpE4AAL,-,105283,"	2025-10-04 12:00:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109877,0
白色,0,"【深圳市台风白色预警信号】第21号台风“麦德姆”即将进入南海，未来趋向粤西到海南岛，4日夜间至5日对我市有风雨影响，深圳市气象台2025年10月3日21时00分发布全市台风白色预警信号，请注意做好防御。","	2025-10-03 20:59:18",0,111,AAA30mAAcAACpE4AAJ,-,105281,"	2025-10-03 21:00:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109875,0
黄色,0,"【深圳市森林火险黄色预警信号】深圳市森林防灭火指挥部和深圳市气象台2025年10月01日15时30分联合发布全市陆地森林火险黄色预警信号，预计我市天气将持续干燥，森林火险气象等级为三级，林内可燃物较易燃烧，森林火灾较易发生。有关主管部门加大巡山护林力度，严格管制野外火源。","	2025-10-01 15:34:47",0,110,AAA30mAAcAACpE4AAI,-,105280,"	2025-10-01 15:30:00",发布,0,全市陆地,森林火险,109874,0
黄色,0,"【深圳市高温黄色预警信号】深圳市气象台2025年09月30日11时00分发布全市高温黄色预警信号，预计今日我市中北部及人口密集区域最高气温将升至35℃以上，信号可能持续3-4天。注意防暑降温，避免长时间户外活动。","	2025-09-30 11:01:03",0,109,AAA30mAAcAACpE4AAH,-,105279,"	2025-09-30 11:00:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,高温,109873,0
-,0,"【深圳市解除分区雷电预警信号】雷暴云团已减弱，深圳市气象台2025年09月28日15时20分解除光明区、龙华区、龙岗区和宝安区（福永、沙井、松岗、石岩、航城、福海、燕罗、新桥街道）雷电预警信号。","	2025-09-28 15:19:33",0,107,AAA30mABCAACLddAAA,-,105278,"	2025-09-28 15:20:00",取消,0,"松岗、石岩、福永、沙井、航城、福海、新桥、燕罗、光明区、龙华区、龙岗区",雷电,109872,0
-,0,"【深圳市分区雷电预警信号】深圳市气象台于2025年09月28日12时57分发布光明区、龙华区、龙岗区和宝安区（松岗、石岩、福永、沙井、航城、福海、新桥、燕罗街道）雷电预警信号，预计2小时内上述区域将受雷电影响。市民停留在安全地方。","	2025-09-28 12:58:04",0,107,AAA30mABCAACLd/AAM,-,105277,"	2025-09-28 12:57:00",发布,0,"松岗、石岩、福永、沙井、航城、福海、新桥、燕罗、光明区、龙华区、龙岗区",雷电,109871,0
黄色,0,"【深圳市解除分区暴雨黄色预警信号】强降雨趋于结束，深圳市气象台2025年09月25日14时45分解除罗湖区、龙华区、盐田区（沙头角街道）和龙岗区（平湖、南湾、坂田、布吉、横岗、吉华街道）暴雨黄色预警信号，市民仍需注意远离河道和危险边坡等。","	2025-09-25 14:45:47",0,103,AAA30mABCAACLd/AAL,-,105276,"	2025-09-25 14:45:00",取消,0,"罗湖区、沙头角、龙华区、横岗、布吉、坂田、南湾、平湖、吉华",暴雨,109870,0
黄色,0,"【深圳市分区暴雨黄色预警信号】预计罗湖区、龙华区、盐田区（沙头角街道）和龙岗区（横岗、布吉、坂田、南湾、平湖、吉华街道）3小时内将出现30-50毫米降水，深圳市气象台2025年09月25日13时30分在上述区域发布暴雨黄色预警信号，全市进入暴雨戒备状态。上述区域存在山洪风险，请注意防御暴雨可能引发的局部内涝、山洪等灾害。","	2025-09-25 13:30:47",0,103,AAA30mABCAACLd/AAK,-,105275,"	2025-09-25 13:30:00",发布,0,"罗湖区、沙头角、龙华区、横岗、布吉、坂田、南湾、平湖、吉华",暴雨,109869,0
